groupname,overallocation,conflicts,undersupport,unwilling,unpreferred
nalika,3,0,3,16,2
nalika,1,0,4,12,5
nalika,4,0,0,20,1
nalika,1,0,3,15,5
nalika,1,0,5,19,0
nalika,3,1,0,15,7
nalika,1,0,6,16,1
nalika,3,0,1,13,7
nalika,4,0,3,15,2
nalika,2,0,3,15,4
nalika,5,0,3,19,0
nalika,4,0,1,17,2
nalika,4,0,2,16,2
nalika,5,1,3,13,4
nalika,4,0,1,16,4
nalika,3,0,1,15,5
nalika,4,0,1,18,1
nalika,1,0,3,14,6
nalika,4,0,4,17,0
nalika,3,0,2,15,4
nalika,5,0,0,17,3
nalika,1,0,3,17,3
nalika,3,0,2,14,5
nalika,2,0,2,15,5
nalika,3,0,4,14,2
nalika,8,0,1,22,0
nalika,5,1,1,13,5
nalika,1,0,4,17,2
nalika,3,0,4,16,1
nalika,5,0,1,15,3
nalika,3,0,2,16,3
nalika,1,0,5,12,4
nalika,11,0,0,30,0
nalika,1,0,2,15,6
nalika,1,0,3,19,1
nalika,2,0,4,16,2
nalika,2,0,5,16,1
nalika,3,0,1,18,3
nalika,3,1,5,11,4
nalika,2,1,5,10,6
nalika,2,0,5,17,0
nalika,5,0,1,23,0
nalika,4,0,0,19,2
nalika,0,0,4,13,6
nalika,3,0,2,19,1
nalika,3,0,5,15,1
nalika,1,0,5,13,3
nalika,2,0,3,16,3
nalika,3,0,3,11,6
nalika,3,0,3,17,1
nalika,3,0,2,20,0
nalika,3,0,1,14,6
nalika,3,0,0,20,3
nalika,3,0,3,15,3
nalika,1,0,4,13,4
nalika,2,0,1,15,6
nalika,2,0,4,11,6
nalika,4,0,2,13,5
nalika,2,0,2,17,2
nalika,2,0,3,13,5
nalika,5,0,2,14,3
nalika,3,0,1,17,4
nalika,2,0,2,14,6
nalika,2,0,3,18,1
nalika,3,0,2,12,6
nalika,3,0,5,16,0
nalika,1,0,2,14,7
nalika,4,0,2,15,3
nalika,0,0,6,13,3
nalika,2,0,2,16,4
nalika,5,0,0,18,2
nalika,2,0,4,17,1
nalika,1,0,5,15,2
nalika,4,0,2,14,4
nalika,6,0,0,16,3
nalika,1,0,6,18,0
nalika,0,0,5,13,5
nalika,1,0,4,15,3
